Dataset,Alagorithm,Type,Part,%,Correct_Ham,Incorrect_Ham,Correct_Spam,Incorrect_Spam
SMS Spam Corpus v.0.1,RandomForest,1,upFeatureList,0.9107385591300408,612,51,0,0
SMS Spam Corpus v.0.1,RandomForest,2,lowFeatureList,0.9009063444108761,954,39,0,0
SMS Spam Corpus v.0.1,RandomForest,2,upFeatureList,0.9102854553692795,614,49,0,0
SMS Spam Corpus v.0.1,RandomForest,3,lowFeatureList,0.9,953,40,0,0
SMS Spam Corpus v.0.1,RandomForest,3,upFeatureList,0.9053013140009062,619,44,0,0
SMS Spam Corpus v.0.1,RandomForest,4,lowFeatureList,0.9024169184290031,948,45,0,0
SMS Spam Corpus v.0.1,RandomForest,4,upFeatureList,0.9030357951971001,624,39,0,0
SMS Spam Corpus v.0.1,svm,0,lowFeatureList,0.8948640483383686,903,90,0,0
SMS Spam Corpus v.0.1,svm,0,upFeatureList,0.8862709560489352,595,68,0,0
SMS Spam Corpus v.0.1,svm,1,lowFeatureList,0.8963746223564955,903,90,0,0
SMS Spam Corpus v.0.1,svm,1,upFeatureList,0.8903488898957861,595,68,0,0
SMS Spam Corpus v.0.1,svm,2,lowFeatureList,0.9015105740181268,895,98,0,0
SMS Spam Corpus v.0.1,svm,2,upFeatureList,0.8930675124603534,588,75,0,0
SMS Spam Corpus v.0.1,svm,3,lowFeatureList,0.8987915407854985,897,96,0,0
SMS Spam Corpus v.0.1,svm,3,upFeatureList,0.8853647485274128,595,68,0,0
SMS Spam Corpus v.0.1,svm,4,lowFeatureList,0.9030211480362538,894,99,0,0
SMS Spam Corpus v.0.1,svm,4,upFeatureList,0.8903488898957861,598,65,0,0
